iter	Passed	Remaining
0	6	654
1	12	597
2	19	619
3	26	628
4	33	633
5	38	608
6	49	658
7	65	750
8	75	760
9	80	721
10	93	757
11	106	779
12	118	792
13	130	801
14	141	800
15	148	780
16	162	791
17	170	776
18	178	763
19	186	746
20	193	727
21	202	717
22	209	702
23	218	693
24	225	676
25	232	661
26	247	667
27	253	651
28	260	638
29	268	626
30	280	624
31	289	614
32	296	601
33	303	589
34	312	580
35	319	568
36	333	568
37	339	554
38	350	548
39	360	540
40	369	532
41	380	525
42	389	516
43	394	502
44	401	491
45	410	481
46	417	470
47	425	460
48	432	450
49	439	439
50	447	429
51	456	421
52	466	413
53	476	405
54	484	396
55	489	384
56	497	375
57	504	365
58	512	356
59	518	345
60	528	338
61	534	327
62	543	319
63	555	312
64	563	303
65	571	294
66	577	284
67	584	274
68	590	265
69	598	256
70	605	247
71	613	238
72	621	229
73	627	220
74	634	211
75	642	202
76	650	194
77	663	187
78	671	178
79	687	171
80	702	164
81	717	157
82	732	150
83	743	141
84	752	132
85	760	123
86	770	115
87	795	108
88	801	99
89	807	89
90	824	81
91	841	73
92	851	64
93	861	54
94	871	45
95	887	36
96	906	28
97	925	18
98	949	9
99	962	0
