iter	Passed	Remaining
0	139	139007
1	143	71369
2	144	48130
3	147	36631
4	148	29581
5	150	24904
6	151	21506
7	152	18940
8	155	17106
9	156	15523
10	157	14188
11	158	13073
12	160	12183
13	161	11395
14	162	10684
15	163	10054
16	164	9502
17	165	9021
18	166	8587
19	171	8398
20	172	8049
21	173	7733
22	175	7451
23	176	7180
24	177	6926
25	179	6712
26	180	6500
27	181	6309
28	183	6144
29	185	6000
30	186	5836
31	187	5675
32	188	5538
33	190	5408
34	191	5286
35	193	5169
36	194	5059
37	196	4975
38	198	4881
39	200	4806
40	201	4707
41	202	4613
42	203	4530
43	204	4443
44	205	4360
45	206	4279
46	207	4203
47	208	4132
48	209	4068
49	210	4007
50	212	3960
51	213	3899
52	214	3836
53	215	3775
54	216	3717
55	217	3667
56	218	3615
57	219	3566
58	220	3517
59	221	3470
60	222	3426
61	223	3387
62	224	3346
63	226	3315
64	228	3279
65	228	3240
66	229	3200
67	231	3167
68	232	3130
69	232	3094
70	233	3059
71	234	3024
72	235	2989
73	236	2955
74	237	2925
75	238	2900
76	239	2874
77	241	2856
78	242	2827
79	243	2798
80	244	2769
81	245	2743
82	245	2713
83	246	2689
84	247	2666
85	248	2642
86	249	2620
87	250	2599
88	251	2578
89	253	2562
90	254	2541
91	255	2521
92	256	2500
93	257	2480
94	258	2459
95	259	2439
96	260	2421
97	261	2402
98	261	2383
99	262	2364
100	263	2345
101	264	2328
102	265	2311
103	266	2294
104	267	2281
105	268	2266
106	270	2255
107	271	2240
108	272	2224
109	272	2207
110	273	2191
111	274	2177
112	275	2164
113	276	2150
114	277	2135
115	278	2120
116	278	2105
117	279	2092
118	280	2078
119	282	2071
120	283	2059
121	285	2052
122	286	2039
123	286	2026
124	287	2013
125	288	2000
126	289	1988
127	290	1977
128	291	1966
129	292	1954
130	292	1943
131	293	1931
132	294	1921
133	295	1910
134	296	1902
135	298	1893
136	299	1887
137	300	1876
138	301	1865
139	301	1854
140	302	1843
141	303	1831
142	304	1822
143	304	1812
144	305	1802
145	306	1792
146	307	1783
147	308	1774
148	309	1764
149	309	1755
150	310	1747
151	311	1739
152	313	1735
153	314	1727
154	315	1718
155	315	1709
156	316	1700
157	317	1691
158	318	1683
159	319	1675
160	319	1666
161	320	1658
162	321	1649
163	322	1641
164	322	1634
165	323	1626
166	324	1619
167	325	1613
168	326	1606
169	328	1602
170	329	1595
171	329	1587
172	330	1579
173	331	1572
174	332	1566
175	333	1559
176	333	1552
177	334	1545
178	335	1538
179	336	1531
180	337	1525
181	338	1519
182	338	1513
183	340	1511
184	342	1509
185	343	1505
186	344	1498
187	345	1491
188	346	1485
189	347	1479
190	348	1475
191	349	1468
192	349	1462
193	350	1456
194	351	1450
195	352	1444
196	353	1439
197	354	1436
198	355	1431
199	357	1430
200	358	1425
201	359	1420
202	360	1414
203	361	1409
204	362	1404
205	363	1399
206	364	1396
207	365	1392
208	366	1387
209	368	1386
210	369	1382
211	370	1378
212	372	1376
213	373	1371
214	374	1366
215	375	1363
216	376	1358
217	377	1353
218	378	1348
219	379	1343
220	380	1339
221	381	1335
222	381	1330
223	382	1326
224	384	1323
225	386	1322
226	387	1318
227	388	1314
228	388	1309
229	389	1304
230	390	1300
231	391	1296
232	392	1292
233	393	1287
234	394	1283
235	395	1280
